455345,455345,22.3015633795,114.1902971455,4.2810149119,-0.5128488436,-1.3298565111,-1.3227210661
455346,455346,22.3015683512,114.1902995771,0.5226183448,-0.2622843431,-0.7793170732,-5.0811177880
455347,455347,22.3015694022,114.1902966083,0.5319185169,-0.5681976941,-0.6629365434,-5.0718176418
455348,455348,22.3015705538,114.1902895297,0.5479076766,-1.2975981232,-0.5354104174,-5.0558286012
455349,455349,22.3015721810,114.1902796163,0.5444739026,-2.3190933855,-0.3552266562,-5.0592626857
455350,455350,22.3015770532,114.1902660884,0.6172377232,-3.7130414376,0.1842911335,-4.9864996159
455351,455351,22.3015821436,114.1902566377,0.5746167451,-4.6868662245,0.7479829657,-5.0291213853
455352,455352,22.3015919220,114.1902474619,0.5951396744,-5.6323608060,1.8307811209,-5.0085996418
455353,455353,22.3016039390,114.1902371308,0.6654331799,-6.6969004045,3.1614821155,-4.9383079371
455354,455354,22.3016204812,114.1902307385,0.7402576881,-7.3555749515,4.9932729890,-4.8634856746
455355,455355,22.3016355675,114.1902209395,0.7727692358,-8.3652920505,6.6638412796,-4.8309772190
455356,455356,22.3016558112,114.1902084553,0.7812526092,-9.6516915000,8.9055138136,-4.8224988347
455357,455357,22.3016843378,114.1901933253,0.8409456081,-11.2107205534,12.0643918129,-4.7628141982
455358,455358,22.3017192620,114.1901774557,0.8809473137,-12.8459547375,15.9317007724,-4.7228248342
455359,455359,22.3017566401,114.1901586187,0.8774042932,-14.7869604214,20.0707419274,-4.7263845816
455360,455360,22.3017994588,114.1901395716,0.8307654411,-16.7496125395,24.8122457981,-4.7730459507
455361,455361,22.3018457991,114.1901157724,0.8585954654,-19.2019282694,29.9437137342,-4.7452459445
455362,455362,22.3018960516,114.1900922579,0.7849430930,-21.6249023326,35.5083963195,-4.8189358218
455363,455363,22.3019486327,114.1900649574,0.8134578785,-24.4380016078,41.3309338771,-4.7904675447
455364,455364,22.3020016768,114.1900395021,0.7916260636,-27.0609564496,47.2047496863,-4.8123520361
455365,455365,22.3020528559,114.1900135339,0.8302886247,-29.7367694105,52.8720417560,-4.7737471479
455366,455366,22.3021026953,114.1899890288,0.8265333136,-32.2618127844,58.3909813386,-4.7775641572
455367,455367,22.3021511251,114.1899629074,0.8955765297,-34.9534044018,63.7538258283,-4.7085877472
455368,455368,22.3021978346,114.1899367663,0.8964031877,-37.6470169587,68.9261872044,-4.7078314690
455369,455369,22.3022396347,114.1899044886,0.9296205294,-40.9729590487,73.5549006647,-4.6746874621
455370,455370,22.3022733477,114.1898683289,0.9081854441,-44.6989157802,77.2881037325,-4.6961926432
455371,455371,22.3022943328,114.1898260922,0.9223994151,-49.0510607573,79.6118889241,-4.6820398125
455372,455372,22.3023051332,114.1897814271,0.9383077272,-53.6534350654,80.8078798268,-4.6661838826
455373,455373,22.3023044353,114.1897369858,0.9096975484,-58.2327419548,80.7306123959,-4.6948332096
455374,455374,22.3022961853,114.1896944762,0.9687755561,-62.6130189652,79.8170702259,-4.6357849454
455375,455375,22.3022795889,114.1896550884,0.9844136135,-66.6716180010,77.9792990192,-4.6201648011
455376,455376,22.3022569612,114.1896179371,0.9947995511,-70.4997696043,75.4736472548,-4.6097892349
455377,455377,22.3022391921,114.1895843724,0.9899598617,-73.9583507274,73.5060151633,-4.6146445992
455378,455378,22.3022171885,114.1895480657,0.9841515371,-77.6994760324,71.0694777465,-4.6204691604
455379,455379,22.3021935966,114.1895150120,0.9902701930,-81.1054077456,68.4570558618,-4.6143636663
455380,455380,22.3021748777,114.1894860287,0.9205207305,-84.0919150989,66.3842429101,-4.6841293724
455381,455381,22.3021567338,114.1894585852,0.8723492979,-86.9197578049,64.3751059028,-4.7323176164
455382,455382,22.3021364572,114.1894318370,0.8640296277,-89.6759523348,62.1298045132,-4.7406526180
455383,455383,22.3021156813,114.1894036935,0.8343464589,-92.5759300301,59.8292210002,-4.7703546552
455384,455384,22.3020942889,114.1893723595,0.8600855637,-95.8046674956,57.4603607512,-4.7446408635
455385,455385,22.3020720624,114.1893350577,0.9193529363,-99.6483361342,54.9991487906,-4.6854100770
455386,455386,22.3020525728,114.1892926265,0.9255832401,-104.0205421622,52.8410094231,-4.6792307974
455387,455387,22.3020371422,114.1892440545,0.9332102675,-109.0255180692,51.1323481549,-4.6716729973
455388,455388,22.3020294680,114.1891911936,0.8555838959,-114.4724149580,50.2825836920,-4.7493878069
455389,455389,22.3020279399,114.1891360793,0.5588662406,-120.1515030783,50.1134141202,-5.0462085092
455390,455390,22.3020392556,114.1890793867,0.4318208819,-125.9932107674,51.3664945043,-5.1733767971
455391,455391,22.3020631853,114.1890266048,0.4391839578,-131.4319486109,54.0163848415,-5.1661459303
455392,455392,22.3020934062,114.1889761642,0.5425515711,-136.6294274967,57.3629167649,-5.0629174857
455393,455393,22.3021242496,114.1889276485,0.6217387731,-141.6285503793,60.7783869869,-4.9838717189
455394,455394,22.3021516371,114.1888810976,0.5713889553,-146.4252210000,63.8111754474,-5.0343601517
455395,455395,22.3021761792,114.1888403722,0.5691706768,-150.6216199984,66.5288675520,-5.0367045291
455396,455396,22.3021944246,114.1888073853,0.6087613464,-154.0206319001,68.5492883652,-4.9972168815
455397,455397,22.3022046275,114.1887827101,0.6147978188,-156.5632014700,69.6791316504,-4.9912548046
455398,455398,22.3022114998,114.1887653494,0.6115461766,-158.3520730094,70.4401461933,-4.9945591346
455399,455399,22.3022137336,114.1887467241,0.4600891583,-160.2712549650,70.6875285657,-5.1460668713
